tool_id	type	lifecycle	version	owner	domain	stage	path	lang	executable	summary	tags	input_contract	output_contract	validator	last_verified	evidence_path	replacement_tool_id	command_hint
debug_run_offline_rc_consistency_regression_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/run_offline_rc_consistency_regression.sh	bash	1	run offline rc consistency regression	debug,offline,rc,consistency,regression							bash scripts/debug/run_offline_rc_consistency_regression.sh
debug_run_plot_net_cost_model_consistency_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/run_plot_net_cost_model_consistency.sh	bash	1	run plot net cost model consistency	debug,plot,net,cost,model,consistency							bash scripts/debug/run_plot_net_cost_model_consistency.sh
debug_run_pre_route_model_search_sh	debug_tool	active	0.1.0	unassigned	route	route	scripts/debug/run_pre_route_model_search.sh	bash	1	run pre route model search	debug,pre,route,model,search							bash scripts/debug/run_pre_route_model_search.sh
debug_run_replace_costmodel_lastchance10_s8_sh	debug_tool	active	0.1.0	unassigned	placement	place	scripts/debug/run_replace_costmodel_lastchance10_s8.sh	bash	1	run replace costmodel lastchance10 s8	debug,replace,costmodel,lastchance10,s8							bash scripts/debug/run_replace_costmodel_lastchance10_s8.sh
debug_run_replace_costmodel_vs_vanilla_route_ppa_sh	debug_tool	active	0.1.0	unassigned	route	place	scripts/debug/run_replace_costmodel_vs_vanilla_route_ppa.sh	bash	1	run replace costmodel vs vanilla route ppa	debug,replace,costmodel,vs,vanilla,route,ppa							bash scripts/debug/run_replace_costmodel_vs_vanilla_route_ppa.sh
debug_run_replace_placement_ab_resource_gate_py	debug_tool	active	0.1.0	unassigned	placement	place	scripts/debug/run_replace_placement_ab_resource_gate.py	python	1	run replace placement ab resource gate	debug,replace,placement,ab,resource,gate							python3 scripts/debug/run_replace_placement_ab_resource_gate.py
debug_run_route_abc_from_cts_golden_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/run_route_abc_from_cts_golden.sh	bash	1	run route abc from cts golden	debug,route,abc,from,cts,golden							bash scripts/debug/run_route_abc_from_cts_golden.sh
debug_screen_backside_delay_power_balance_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/screen_backside_delay_power_balance.py	python	1	screen backside delay power balance	debug,screen,backside,delay,power,balance							python3 scripts/debug/screen_backside_delay_power_balance.py
debug_select_backside_nets_by_hot_congestion_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/select_backside_nets_by_hot_congestion.py	python	1	select backside nets by hot congestion	debug,select,backside,nets,by,hot,congestion							python3 scripts/debug/select_backside_nets_by_hot_congestion.py
debug_select_backside_nets_cpp_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/select_backside_nets_cpp.sh	bash	1	select backside nets cpp	debug,select,backside,nets,cpp							bash scripts/debug/select_backside_nets_cpp.sh
debug_select_backside_nets_version_a_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/select_backside_nets_version_a.py	python	1	select backside nets version a	debug,select,backside,nets,version,a							python3 scripts/debug/select_backside_nets_version_a.py
debug_select_hotspot_sink_subset_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/select_hotspot_sink_subset.py	python	1	select hotspot sink subset	debug,select,hotspot,sink,subset							python3 scripts/debug/select_hotspot_sink_subset.py
debug_smoke_targeted_backside_route_toycase_sh	debug_tool	active	0.1.0	unassigned	backside_routing	route	scripts/debug/smoke_targeted_backside_route_toycase.sh	bash	1	smoke targeted backside route toycase	debug,smoke,targeted,backside,route,toycase							bash scripts/debug/smoke_targeted_backside_route_toycase.sh
debug_split_class_reg_analysis_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/split_class_reg_analysis.py	python	1	split class reg analysis	debug,split,class,reg,analysis							python3 scripts/debug/split_class_reg_analysis.py
debug_submit_backside_open_observe_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/submit_backside_open_observe.sh	bash	1	Backside resource opening experiment (no targeted guidance).	debug,submit,backside,open,observe							bash scripts/debug/submit_backside_open_observe.sh
debug_submit_gt3_route_rc_consistency_sh	debug_tool	active	0.1.0	unassigned	backside_routing	route	scripts/debug/submit_gt3_route_rc_consistency.sh	bash	1	submit gt3 route rc consistency	debug,submit,gt3,route,rc,consistency							bash scripts/debug/submit_gt3_route_rc_consistency.sh
debug_submit_large_cts_crash_repro_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/submit_large_cts_crash_repro.sh	bash	1	Submit a large_design CTS run that reproduces the historical ccopt SEGV	debug,submit,large,cts,crash,repro							bash scripts/debug/submit_large_cts_crash_repro.sh
debug_submit_large_cts_stable_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/submit_large_cts_stable.sh	bash	1	Submit a large_design CTS run with the validated stable CTS configuration	debug,submit,large,cts,stable							bash scripts/debug/submit_large_cts_stable.sh
debug_submit_large_prects_matrix_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/submit_large_prects_matrix.sh	bash	1	Submit a pre-CTS experiment matrix on large_design to isolate runtime drivers.	debug,submit,large,prects,matrix							bash scripts/debug/submit_large_prects_matrix.sh
debug_submit_route_abc_from_cts_golden_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/submit_route_abc_from_cts_golden.sh	bash	1	submit route abc from cts golden	debug,submit,route,abc,from,cts,golden							bash scripts/debug/submit_route_abc_from_cts_golden.sh
debug_summarize_ppa_unified_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/summarize_ppa_unified.py	python	1	.../outputs/<design>/innovus/<runid>	debug,summarize,ppa,unified							python3 scripts/debug/summarize_ppa_unified.py
debug_sweep_multilayer_htree_weights_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/sweep_multilayer_htree_weights.py	python	1	sweep multilayer htree weights	debug,sweep,multilayer,htree,weights							python3 scripts/debug/sweep_multilayer_htree_weights.py
debug_sweep_placement_resource_variants_py	debug_tool	active	0.1.0	unassigned	placement	place	scripts/debug/sweep_placement_resource_variants.py	python	1	sweep placement resource variants	debug,sweep,placement,resource,variants							python3 scripts/debug/sweep_placement_resource_variants.py
debug_systematic_backside_model_analysis_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/systematic_backside_model_analysis.py	python	1	systematic backside model analysis	debug,systematic,backside,model,analysis							python3 scripts/debug/systematic_backside_model_analysis.py
debug_systolic_backside_compare_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/systolic_backside_compare.sh	bash	1	Compare backside-routing strategies on systolic_array_8x8.	debug,systolic,backside,compare							bash scripts/debug/systolic_backside_compare.sh
debug_systolic_clock_tree_backside_compare_sh	debug_tool	active	0.1.0	unassigned	backside_routing	cts	scripts/debug/systolic_clock_tree_backside_compare.sh	bash	1	Compare clock-only backside routing strategies (signal nets unchanged).	debug,systolic,clock,tree,backside,compare							bash scripts/debug/systolic_clock_tree_backside_compare.sh
debug_systolic_cts_ppa_compare_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/systolic_cts_ppa_compare.sh	bash	1	Fast CTS-only PPA comparison.	debug,systolic,cts,ppa,compare							bash scripts/debug/systolic_cts_ppa_compare.sh
debug_track_bspdn_goal_progress_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/track_bspdn_goal_progress.py	python	1	track bspdn goal progress	debug,track,bspdn,goal,progress							python3 scripts/debug/track_bspdn_goal_progress.py
debug_validate_backside_delay_model_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/validate_backside_delay_model.sh	bash	1	One-click validation:	debug,validate,backside,delay,model							bash scripts/debug/validate_backside_delay_model.sh
debug_validate_execution_contract_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/validate_execution_contract.py	python	1	validate execution contract	debug,validate,execution,contract							python3 scripts/debug/validate_execution_contract.py
debug_visualize_large_disp_vs_ntsv_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/visualize_large_disp_vs_ntsv.py	python	1	visualize large disp vs ntsv	debug,visualize,large,disp,vs,ntsv							python3 scripts/debug/visualize_large_disp_vs_ntsv.py
debug_visualize_postcts_drv_repair_py	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/visualize_postcts_drv_repair.py	python	1	visualize postcts drv repair	debug,visualize,postcts,drv,repair							python3 scripts/debug/visualize_postcts_drv_repair.py
debug_visualize_replace_placement_clock_py	debug_tool	active	0.1.0	unassigned	cts	place	scripts/debug/visualize_replace_placement_clock.py	python	1	COMPONENTS entries are typically one-line in this flow.	debug,visualize,replace,placement,clock							python3 scripts/debug/visualize_replace_placement_clock.py
run_flow_sh	flow_orchestrator	active	0.1.0	unassigned	general	utility	scripts/run_flow.sh	bash	1	============================================================	flow							bash scripts/run_flow.sh
submit_flow_sh	flow_orchestrator	active	0.1.0	unassigned	general	utility	scripts/submit_flow.sh	bash	1	============================================================	submit,flow							bash scripts/submit_flow.sh
stages_dc_run_sh	flow_stage	active	0.1.0	unassigned	general	utility	scripts/stages/dc/run.sh	bash	1	============================================================	stages,dc							bash scripts/stages/dc/run.sh
stages_eco_analysis_run_sh	flow_stage	active	0.1.0	unassigned	general	utility	scripts/stages/eco_analysis/run.sh	bash	1	============================================================	stages,eco,analysis							bash scripts/stages/eco_analysis/run.sh
stages_innovus_run_sh	flow_stage	active	0.1.0	unassigned	general	utility	scripts/stages/innovus/run.sh	bash	1	Usage:	stages,innovus							bash scripts/stages/innovus/run.sh
stages_innovus_eco_run_sh	flow_stage	active	0.1.0	unassigned	general	utility	scripts/stages/innovus_eco/run.sh	bash	1	============================================================	stages,innovus,eco							bash scripts/stages/innovus_eco/run.sh
stages_primetime_postdc_run_sh	flow_stage	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postdc/run.sh	bash	1	============================================================	stages,primetime,postdc							bash scripts/stages/primetime_postdc/run.sh
stages_primetime_postpnr_run_sh	flow_stage	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postpnr/run.sh	bash	1	============================================================	stages,primetime,postpnr							bash scripts/stages/primetime_postpnr/run.sh
stages_dc_readme_md	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/dc/README.md	markdown	1	Design Compiler (Synthesis)	stages,dc,readme,md							
stages_dc_interface_yaml	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/dc/interface.yaml	yaml	1	interface	stages,dc,interface,yaml							
stages_eco_analysis_readme_md	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/eco_analysis/README.md	markdown	1	ECO (Engineering Change Order) Flow	stages,eco,analysis,readme,md							
stages_eco_analysis_analyze_timing_py	flow_stage_aux	active	0.1.0	unassigned	general	analysis	scripts/stages/eco_analysis/analyze_timing.py	python	1	Extract setup timing	stages,eco,analysis,analyze,timing							python3 scripts/stages/eco_analysis/analyze_timing.py
stages_innovus_readme_md	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/innovus/README.md	markdown	1	Innovus Place & Route Stage	stages,innovus,readme,md							
stages_innovus_interface_yaml	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/innovus/interface.yaml	yaml	1	interface	stages,innovus,interface,yaml							
stages_innovus_run_openroad_cts_bridge_sh	flow_stage_aux	active	0.1.0	unassigned	cts	cts	scripts/stages/innovus/run_openroad_cts_bridge.sh	bash	1	One-click bridge:	stages,innovus,openroad,cts,bridge							bash scripts/stages/innovus/run_openroad_cts_bridge.sh
stages_innovus_eco_readme_md	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/innovus_eco/README.md	markdown	1	Innovus ECO Stage	stages,innovus,eco,readme,md							
stages_primetime_postdc_readme_md	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postdc/README.md	markdown	1	PrimeTime Post-DC STA Stage	stages,primetime,postdc,readme,md							
stages_primetime_postdc_interface_yaml	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postdc/interface.yaml	yaml	1	interface	stages,primetime,postdc,interface,yaml							
stages_primetime_postpnr_readme_md	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postpnr/README.md	markdown	1	PrimeTime Post-PnR STA Stage	stages,primetime,postpnr,readme,md							
stages_primetime_postpnr_debug_sh	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postpnr/debug.sh	bash	1	============================================================	stages,primetime,postpnr,debug							bash scripts/stages/primetime_postpnr/debug.sh
stages_primetime_postpnr_debug_tcl	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postpnr/debug.tcl	tcl	1	============================================================	stages,primetime,postpnr,debug							# sourced by flow: scripts/stages/primetime_postpnr/debug.tcl
stages_primetime_postpnr_interface_yaml	flow_stage_aux	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postpnr/interface.yaml	yaml	1	interface	stages,primetime,postpnr,interface,yaml							
stages_dc_run_tcl	flow_stage_tcl	active	0.1.0	unassigned	general	utility	scripts/stages/dc/run.tcl	tcl	1	============================================================	stages,dc							# sourced by flow: scripts/stages/dc/run.tcl
stages_innovus_run_tcl	flow_stage_tcl	active	0.1.0	unassigned	general	utility	scripts/stages/innovus/run.tcl	tcl	1	============================================================	stages,innovus							# sourced by flow: scripts/stages/innovus/run.tcl
stages_innovus_eco_run_tcl	flow_stage_tcl	active	0.1.0	unassigned	general	utility	scripts/stages/innovus_eco/run.tcl	tcl	1	============================================================	stages,innovus,eco							# sourced by flow: scripts/stages/innovus_eco/run.tcl
stages_primetime_postdc_run_tcl	flow_stage_tcl	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postdc/run.tcl	tcl	1	============================================================	stages,primetime,postdc							# sourced by flow: scripts/stages/primetime_postdc/run.tcl
stages_primetime_postpnr_run_tcl	flow_stage_tcl	active	0.1.0	unassigned	general	utility	scripts/stages/primetime_postpnr/run.tcl	tcl	1	============================================================	stages,primetime,postpnr							# sourced by flow: scripts/stages/primetime_postpnr/run.tcl
clean_sh	script	active	0.1.0	unassigned	general	utility	scripts/clean.sh	bash	1	============================================================	clean							bash scripts/clean.sh
env_cadence_innovus_sh	script	active	0.1.0	unassigned	general	utility	scripts/env/cadence_innovus.sh	bash	1	============================================================	env,cadence,innovus							bash scripts/env/cadence_innovus.sh
env_synopsys_dc_sh	script	active	0.1.0	unassigned	general	utility	scripts/env/synopsys_dc.sh	bash	1	Synopsys Design Compiler environment	env,synopsys,dc							bash scripts/env/synopsys_dc.sh
env_synopsys_primetime_sh	script	active	0.1.0	unassigned	general	utility	scripts/env/synopsys_primetime.sh	bash	1	============================================================	env,synopsys,primetime							bash scripts/env/synopsys_primetime.sh
env_test_smtp_py	script	active	0.1.0	unassigned	general	utility	scripts/env/test_smtp.py	python	1	test smtp	env,test,smtp							python3 scripts/env/test_smtp.py
find_tool_sh	script	active	0.1.0	unassigned	general	utility	scripts/find_tool.sh	bash	1	find tool	find,tool							bash scripts/find_tool.sh
switch_readme_lang_sh	script	active	0.1.0	unassigned	general	utility	scripts/switch_readme_lang.sh	bash	1	Switch README language by copying README_zh.md or README_en.md into README.md	switch,readme,lang							bash scripts/switch_readme_lang.sh
tech_asap7_sh	tech_utility	active	0.1.0	unassigned	general	utility	scripts/tech/asap7.sh	bash	1	============================================================	tech,asap7							bash scripts/tech/asap7.sh
tech_extend_probe_gt3_backside_techlef_py	tech_utility	active	0.1.0	unassigned	backside_routing	utility	scripts/tech/extend_probe_gt3_backside_techlef.py	python	1	extend probe gt3 backside techlef	tech,extend,probe,gt3,backside,techlef							python3 scripts/tech/extend_probe_gt3_backside_techlef.py
tech_freepdk3_sh	tech_utility	active	0.1.0	unassigned	general	utility	scripts/tech/freepdk3.sh	bash	1	============================================================	tech,freepdk3							bash scripts/tech/freepdk3.sh
tech_gt3_sh	tech_utility	active	0.1.0	unassigned	backside_routing	utility	scripts/tech/gt3.sh	bash	1	============================================================	tech,gt3							bash scripts/tech/gt3.sh
tech_prepare_freepdk3_proxy_sh	tech_utility	active	0.1.0	unassigned	general	utility	scripts/tech/prepare_freepdk3_proxy.sh	bash	1	============================================================	tech,prepare,freepdk3,proxy							bash scripts/tech/prepare_freepdk3_proxy.sh
tech_prepare_gt3_sh	tech_utility	active	0.1.0	unassigned	backside_routing	utility	scripts/tech/prepare_gt3.sh	bash	1	============================================================	tech,prepare,gt3							bash scripts/tech/prepare_gt3.sh
tech_prepare_gt3_fixed_sh	tech_utility	active	0.1.0	unassigned	backside_routing	utility	scripts/tech/prepare_gt3_fixed.sh	bash	1	============================================================	tech,prepare,gt3,fixed							bash scripts/tech/prepare_gt3_fixed.sh
tech_prepare_probe_gt3_sh	tech_utility	active	0.1.0	unassigned	backside_routing	utility	scripts/tech/prepare_probe_gt3.sh	bash	1	Prepare a local PROBE GT3 tech bundle under tech/PROBE_GT3.	tech,prepare,probe,gt3							bash scripts/tech/prepare_probe_gt3.sh
tech_probe_gt3_sh	tech_utility	active	0.1.0	unassigned	backside_routing	utility	scripts/tech/probe_gt3.sh	bash	1	============================================================	tech,probe,gt3							bash scripts/tech/probe_gt3.sh
